"Month","Longitude","Latitude","Location","Crime.type","Town","Population"
"2015-02","-5.930446","54.599424","Royal Avenue","SHOP","BELFAST","335,665"
"2015-01","-5.649491","54.645950","Navar Drive","ASBO","BANGOR","62,789"
"2015-01","-6.078582","54.516449","Rushmore Park","BURG","LISBURN","121,654"
"2015-01","-5.925779","54.586208","Dudley Street","ASBO","BELFAST","335,665"
"2015-02","-7.402586","54.342756","Tullyreagh Road","ASBO","TEMPO","537"
"2015-01","-5.926512","54.597057","Montgomery Street","VISO","BELFAST","335,665"
"2015-02","-7.286046","54.986993","Manorwood","VISO","LONDONDERRY","87,269"
"2015-02","-5.699926","54.321639","Demesne Avenue","VECR","BANGOR","62,789"
"2015-02","-5.990521","54.579323","Bearnagh Glen","ASBO","BELFAST","335,665"
"2015-02","-5.921771","54.599590","Ann Street","BURG","BELFAST","335,665"
"2015-02","-5.847551","54.580798","Farmhurst Green","ASBO","BELFAST","335,665"
"2015-01","-6.648976","55.203371","Causeway Street","ASBO","PORTRUSH","6,621"
"2015-02","-5.692013","54.643929","Meadowvale Park","CDAR","LIMAVADY","12,128"
"2015-01","-5.977773","54.553152","Trossachs Drive","ASBO","BELFAST","335,665"
"2015-02","-5.935929","54.610633","Kinnaird Street","POSW","BELFAST","335,665"
"2015-02","-6.271575","54.346677","Old Kenlis Street","ASBO","BANBRIDGE","14,634"
"2015-02","-7.633192","54.354836","Hillview Park","VISO","NEWTOWNABBEY","118,261"
"2015-01","-6.226574","54.723916","Coral Crescent","ASBO","ANTRIM","21,896"
"2015-02","-6.962922","54.461149","Loughans Road","VISO","BALLYGAWLEY","643"
"2015-02","-6.027805","54.549073","Whin Park","ASBO","DUNMURRY",NA
"2015-02","-6.258292","54.419604","Baird Avenue","ASBO","CARRICKFERGUS","28,653"
"2015-01","-6.446787","54.421691","Mandeville Street","VISO","PORTADOWN","22,611"
"2015-01","-7.282651","55.011775","Madam'S Bank Road","VISO",NA,NA
"2015-02","-7.320473","54.607272","Gortrush Park","VISO","OMAGH","21,325"
"2015-01","-5.936572","54.608029","Annesley Street","SHOP","BELFAST","335,665"
"2015-02","-5.886583","54.597732","Grampian Close","OTCR","BELFAST","335,665"
"2015-02","-5.629089","54.665833","Greenridge Park","BURG","BANGOR","62,789"
"2015-02","-6.329955","54.462224","Windsor Avenue","ASBO","NEWTOWNARDS","28,654"
"2015-02","-5.930979","54.604160","Union Street","OTTH","COLERAINE","24,694"
"2015-02","-6.365420","54.441497","Drumellan Gardens","VISO","CRAIGAVON","17,213"
"2015-01","-5.962330","54.587243","Rodney Parade","OTTH","BELFAST","335,665"
"2015-02","-5.689609","54.654890","Carmen Lane","SHOP","BANGOR","62,789"
"2015-01","-7.308329","54.611605","Carnan Park","VISO","OMAGH","21,325"
"2015-02","-5.713303","54.315208","Ardilea Park","DRUG","DOWNPATRICK","11,012"
"2015-01","-6.341752","54.176915","Monaghan Street","OTTH","NEWRY","27,234"
"2015-02","-5.847889","54.593447","Cabinhill Mews","CDAR","BELFAST","335,665"
"2015-01","-5.954294","54.621008","Oldpark Road","OTCR","BELFAST","335,665"
"2015-02","-5.671813","54.659042","Railwayview Street","ASBO","BANGOR","62,789"
"2015-02","-5.716847","54.295057","Marshallstown","OTTH","DOWNPATRICK","11,012"
"2015-02","-5.814929","54.850459","Circular Road","ASBO","CASTLEROCK","1,288"
"2015-01","-6.456574","54.415878","Brownstown Road","CDAR","PORTADOWN","22,611"
"2015-02","-6.025683","54.554286","Jasmine End","ASBO","DUNMURRY",NA
"2015-01","-5.981961","54.579755","Andersonstown Park West","VISO","BELFAST","335,665"
"2015-02","-7.354506","55.012725","St. Eithne'S Park","VISO","LONDONDERRY","87,269"
"2015-01","-6.438146","54.425694","Bridge Street","OTTH","CUSHENDALL","1,410"
"2015-01","-5.539080","54.640808","Cannyreagh Road","OTTH","DONAGHADEE","6,926"
